Code Article;Article;C;Si;Mn;Cu;Cr;P;Ni;Mo;Sn;Sb;Al;S;Mg;Pb;Ti;As;Bi;V
FDN0172.;Frites Mn;0.11;0.02;0.35;0.02;0.03;0.01;0.01;0;0;0;0.05;0;0;0;0;0;0;0
FDN0184.;Disque;3.45;1.95;0.65;0.2;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0
FDN0263.;Cuivre;1;0;2;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FDN0609.;FONTE D'AFFINAGE              ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FDN0615.;PAQUET;0.1;0.03;0.35;0.04;0.08;0.04;0;0;0;0;0;0;0;0;0;0;0;0
FDN1089.;Carbone;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FDN1200.;FONTE HAUTE PURETE            ;6.97;0.91;0.06;0;0;0.04;0;0;0;0;0;0;0;0;0;0;0;0
FDN1203.;BROYÃ‰ AUTOMOBILE              ;0.1;0.1;0.5;0;0.35;0;0;0;0;0;0;0;0;0;0;0;0;0
FDN1204.;FRITE HAUT SILICIUM           ;0.1;3;0.15;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FDN1205.;CHUTES DE FORGE               ;0.3;0.15;0.9;0;0.2;0;0.1;0;0;0;0;0;0;0;0;0;0;0
FDN1206.;SABOTS DE FREINS SNCF         ;3.7;1.4;0.8;0.14;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0
FDN1207.;CHUTES EMBOUTISSAGE           ;0.1;0.03;0.4;0.04;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0
10.;Retour GL200;3.3;2.1;0.45;0.12;0.17;0.15;0.02;0.01;0.01;0;0;0;0;0;0;0;0;0
11.;Retour GL 250;3.25;1.9;0.65;0.12;0.1;0.08;0.02;0.01;0;0;0;0;0;0;0;0;0;0
12.;Retour Jaune;3.7;2.55;0.35;0.15;0.05;0.04;0.02;0.01;0.01;0;0;0;0;0;0;0;0;0
13.;Retour Bleu;3.7;2.7;0.25;0.05;0.05;0.04;0.02;0;0.01;0;0;0;0;0;0;0;0;0
92655248.;FeSi;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FDN0545.;INOCULANT SMZ95 SB25          ;0.08;63.1;3.71;0;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0
FDN0546.;INOCULANT TOPSEED 5005        ;0;47.1;0;0;0;0;0;0;0;0;1.08;0;0;0;0;0;0;0
FDN0636.;INODEX BA13                   ;0;67.5;0;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0
FDN0260.;FERRO MANGANESE CARBURE       ;6.75;0.43;75.33;0;0;0.19;0;0;0;0;0;0;0;0;0;0;0;0
FDN0269.;CARBURE DE SILICIUM 90%       ;1.55;95.44;75.33;0;0;0;0;0;0;0;0.08;0;0;0;0;0;0;0
FDN0207.;FERRO SILICIUM 75             ;0;75;0;0;0;0.02;0;0;0;0;0.08;0;0;0;0;0;0;0
FDN0151.;FePh;0.02;0.65;1.7;0;0.14;25.37;0;0;0;0;0;0;0;0;0;0;0;0
FDN1077.;Degrassant Freeslag FM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97315295.;Degrassant SLAX33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FDN0577.;FIL FOURRE  ;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FDN1233.;POUTRELLES DE 40CM            ;0.1;0.15;0.45;0.15;0.15;0.05;0;0;0;0;0;0;0;0;0;0;0;0