Code Article;Article;C;Si;Mn;Cu;Cr;P;Ni;Mo;Sn;Sb;Al;S;Mg;Pb;Ti;As;Bi;V
FDN0172.;Frites Mn;0.1;0.016;0.35;0.02;0.032;0.007;0.01;0.001;0;0.007;0.046;0.006;0.001;0.002;0.003;0.003;0.002;0
FDN0184.;Disque;3.5;1.9;0.45;0.2;0.16;0.04;0;0;0;0;0;0.16;0;0;0;0;0;0
FDN0263.;Cuivre;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FDN0609.;FONTE D'AFFINAGE              ;4.25;0.763;0.038;0.001;0.019;0.027;0.002;0.007;0.001;0.003;0.003;0.014;0.004;0.005;0.011;0.001;0.004;0
FDN0615.;PAQUET;0.1;0.03;0.35;0.04;0.08;0.04;0;0;0;0;0;0;0;0;0;0;0;0
FDN1089.;CARBONE 99.05 5-10MM;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FDN1200.;FONTE HAUTE PURETE            ;6.97;0.91;0.06;0;0;0.04;0;0;0;0;0;0;0;0;0;0;0;0
FDN1203.;BROYÃ‰ AUTOMOBILE              ;0.5;0.5;0.5;0;0.35;0;0;0;0;0;0;0;0;0;0;0;0;0
FDN1204.;FRITE HAUT SILICIUM           ;0.1;3;0.15;0.125;0.035;0.01;0.013;0.001;0.058;0.007;0.036;0.017;0.001;0.002;0.004;0.005;0.002;0
FDN1205.;CHUTES DE FORGE               ;0.3;0.15;0.9;0;0.2;0;0.1;0;0;0;0;0;0;0;0;0;0;0
FDN1206.;SABOTS DE FREINS SNCF         ;3.7;1.4;0.8;0.14;0.1;0.85;0.08;0.02;0;0;0;0.21;0;0.01;0.07;0;0;0.04
FDN1207.;E8C;0.1;0.02;0.45;0.01;0.04;0.01;0.02;0;0;0;0.03;0;0;0;0;0;0;0
10.;Retour GL 200;3.4;2;0.45;0.16;0.14;0.15;0.02;0.02;0.02;0;0.01;0.05;0;0;0.02;0.01;0;0.01
11.;Retour GL 250;3.35;1.95;0.65;0.16;0.11;0.07;0.06;0.02;0.02;0;0;0.05;0;0;0.01;0.01;0;0
12.;Retour Jaune;3.65;2.62;0.4;0.3;0.09;0.05;0.04;0.01;0.02;0.01;0.01;0.01;0.05;0;0.01;0.001;0;0.01
13.;Retour Bleu;3.65;2.64;0.22;0.06;0.05;0.03;0.01;0.01;0.02;0.01;0.01;0.01;0.05;0;0.01;0.001;0;0.01
92655248.;ferro silicum 75 en vrac;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FDN0545.;INOCULANT SMZ95 SB25          ;0.08;63.1;3.71;0;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0
FDN0546.;INOCULANT TOPSEED 5005        ;0;47.1;0;0;0;0;0;0;0;0;1.08;0;0;0;0;0;0;0
FDN0636.;INODEX BA13                   ;0;67.5;0;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0
FDN0260.;FERRO MANGANESE CARBURE       ;6.75;0.43;75.33;0;0;0.19;0;0;0;0;0;0;0;0;0;0;0;0
FDN0269.;CARBURE DE SILICIUM 90%       ;1.55;95.44;75.33;0;0;0;0;0;0;0;0.08;0;0;0;0;0;0;0
FDN0207.;FERRO SILICIUM 75             ;0;75;0;0;0;0.02;0;0;0;0;0.08;0;0;0;0;0;0;0
FDN0151.;FePh;0.02;0.65;1.5;0;0.14;25.37;0;0;0;0;0;0;0;0;0;0;0;0
FDN1077.;Decrassant Freeslag FM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97315295.;Degrassant SLAX33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FDN0577.;FIL FOURRE  ;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FDN1211.;CLOUS                         ;0.1;0.03;0.35;0.04;0.08;0.04;0;0;0;0;0;0;0;0;0;0;0;0
92658100.;E3C Cubilot;0.1;0.175;1.1;0.1;0.09;0.014;0.031;0.001;0.003;0.006;0.035;0.003;0.001;0.002;0.007;0.003;0.001;0.001
FDN1212.;CARBONE 98-95 2-10MM;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92657120.;VF2;3.45;2.7;0.55;0.15;0.07;0.6;0.05;0.01;0.01;0;0.01;0.21;0;0;0.04;0.02;0;0.04
FDN1219.;FONTE GS RECYCLEE             ;3.7;2.75;0.19;0.01;0.04;0.01;0.01;0;0;0;0.01;0;0.05;0;0.01;0;0;0.01
FDN1221.;RAILS DE CHEMIN DE FER 40CM   ;0.1;0.305;0.98;0.041;0.051;0.018;0.021;0.004;0.003;0.008;0.002;0.014;0.001;0.002;0.001;0.002;0.002;0.005
14.;Retour GL200 EMAIL;3.4;2.25;0.65;0.12;0.09;0.5;0.01;0.001;0;0.007;0.046;0.08;0.001;0.002;0.003;0.003;0.002;0
15.;Retours GL200 CTP;3.4;2;0.55;0.2;0.21;0.05;0.01;0.001;0;0.007;0.046;0.08;0.001;0.002;0.003;0.003;0.002;0
FDN1233.;POUTRELLES DE 40CM            ;0.1;0.15;0.45;0.15;0.15;0.05;0;0;0;0;0;0;0;0;0;0;0;0